Lat,Lon,Thickness,Comment,Vent Lon,Vent Lat,,
33.083,146.416,9,,131.103889,32.884444,,
40.083,149.85,8.5,,,,,
32.028,131.344,75,,,,,
30.5,147.5,7,,,,,
32.172,131.523,60,,,,,
41.836,139.16,6.4,,,,,
40,140,6,,,,,
35.223,139.049,5,,,,,
40.153,140.035,5,,,,,
42.504,143.14,5,,,,,
42.994,144.164,5,,,,,
41.184,142.201,5,,,,,
33.873,130.663,45,,,,,
38.311,135.459,4.6,,,,,
41.429,139.038,4,,,,,
37.208,144.983,4,,,,,
38.22,140.655,4,,,,,
37.5,152,4,,,,,
32.057,131.386,35,,,,,
35.583,135.883,3.5,,,,,
35.37,149.525,3.5,,,,,
44.528,145.004,3,,,,,
37.598,131.554,3,,,,,
37.579,131.979,3,,,,,
37.261,134.267,3,,,,,
35.378,139,3,,,,,
35.602,139.147,3,,,,,
41.177,142.201,3,,,,,
39.182,143.367,2,,,,,
33.363,159.128,2.4,,,,,
37.006,133.901,2,,,,,
34.144,146.566,2,,,,,
35.665,138.87,2,,,,,
36.998,140.087,2,,,,,
40.555,142.917,2,,,,,
29.401,137.347,15,,,,,
43.962,144.316,15,,,,,
43.852,144.379,15,,44.78333,170.083,0.01,Unidentified
43.866,144.649,15,,25.736597,133.435758,0.1,Unidentified
44.314,141.651,12,,28.085794,127.844108,0.1,Unidentified
38.895,143.365,10,,41.115,143.51,0.01,Unidentified
39.876,141.148,10,,40.895,142.27833,0.01,Unidentified
42.318,143.311,10,,39.745,143.325,0.01,Unidentified
40.748,136.935,1.5,,39.69,145.37,0.01,Unidentified
35,152.5,1.5,,40.05317,152.4905,0.01,Unidentified
36.138,158.672,1,,30.059,152.49083,0.01,Unidentified
37.749,162.716,1,,40.00033,165.0665,0.01,Unidentified
36.81,131.412,1,,50.0005,164.99983,0.01,Unidentified
40.548,141.283,1,,44.529,145.02617,0.01,Unidentified
41.763,141.091,1,,49.48833,146.12833,0.01,Unidentified
36.549,138.035,3,,50.395,148.32333,0.01,Unidentified
35.222,136.011,6.7,,46.3312262,125.9421578,0.01,Infered
32.39805,140.365467,6,U1436,51.015,152.00833,0.01,Unidentified
43.759167,144.3125,7,Shibata2025,36.54675,138.043722,10,"中島正志1998, replica 入谷2005"
48.3111,146.134867,0.7,Geo99-10,,,,
47.88135,146.214333,3,Lv28-64-5,,,,
47.935283,146.17015,1,Lv29-70-2,,,,
36.666667,138.994444,4,叶内敦子1990,,,,
35.605,139.126667,10,叶内敦子1991,,,,
36.544539,138.034403,10,入谷2005,,,Missingf: 川崎輝雄(1995) 阿武川上流域における地形発達史.日本地理学会予稿集，no.47，102–103.,
33.762703,132.705436,30,川村教一2009,,,,
36.830197,138.217353,2,公文富士夫1990,,,,
36.9125,136.839586,2,水野清秀2003,,,,
34.047358,133.894478,18,森江孝志2001,,,,
33.385672,132.473222,31,守田益宗2014,,,,
36.488358,135.427038,6,長橋良隆2022,,,,
36.337611,136.294083,4,中島正志1998,,,,
35.605167,139.126944,10,中島正志1999,,,,
36.907667,139.976417,10,中島正志1999,,,,
37.5655,140.096583,4,中島正志1999,,,,
37.661028,140.048861,4,中島正志1999,,,,
38.824306,140.740722,10,中島正志1999,,,,
34.592053,135.517658,5,小倉博之1992,,,,
45.379444,141.816667,7,大井信夫2005,,,,
36.033669,138.087458,3,大嶋秀明1997,,,,
36.613911,139.712831,5,鈴木毅彦1996,,,,
36.456694,139.258681,5,鈴木毅彦1996,,,,
33.390292,132.473311,30,Ushioda2023,,,,
33.392525,132.470522,30,Soyama2012,,,,
37.017572,138.674303,7,渡辺秀男1999,,,,
36.718611,139.751667,3,山元孝広2012,,,,
34.846908,136.071747,7,阿蘇4火山灰層の層厚分布,,,,
36.956264,136.904211,5,阿蘇4火山灰層の層厚分布,,,,
34.321911,131.632128,15,阿蘇4火山灰層の層厚分布,,,,
34.448386,131.728408,20,阿蘇4火山灰層の層厚分布,,,,
34.38,131.69,21,阿蘇4火山灰層の層厚分布,,,,
34.38,131.71,13,阿蘇4火山灰層の層厚分布,,,,
36.0070693,127.18862,2,Infered,,,,
32.77091363,125.7637314,2,Infered,,,,
29.64676494,127.4583159,2,Infered,,,,
25.66258801,131.103889,1,Infered,,,,
25.03422661,143.5035905,1,Infered,,,,
25.5051826,137.3138644,2,Infered,,,,